gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
womens,2021-03-14,0,1.0,0.159156913052,0.03393872274,0.001088248054,9.2068016e-05,1.2259534e-05,6.26046e-07,1,1,2117,Central Michigan,77.01,River Walk,12,106
womens,2021-03-14,0,1.0,0.137871051789,0.031350077705,0.000968633374,7.9343197e-05,1.0256717e-05,5.07574e-07,1,1,304,Idaho State,76.71,River Walk,13,110
womens,2021-03-14,0,1.0,0.137011558865,0.015920989482,0.001402281201,0.000171921455,7.699475e-06,3.54469e-07,1,1,2057,Belmont,75.93,Mercado,12,74
womens,2021-03-14,0,1.0,0.182522667222,0.015465129063,0.000962549654,7.369719e-05,3.577539e-06,2.74583e-07,1,1,71,Bradley,76.78,Hemisfair,11,50
womens,2021-03-14,0,1.0,0.053180649048,0.008853342922,0.000594696512,5.6555356e-05,1.94328e-06,6.9648e-08,1,1,2670,Virginia Commonwealth,73.65,Mercado,13,78
womens,2021-03-14,0,1.0,0.089163218078,0.017172256408,0.000255595817,2.3607493e-05,1.153418e-06,6.6567e-08,1,1,2750,Wright State,74.17,Alamo,13,14
womens,2021-03-14,0,1.0,0.116084113725,0.01560758302,0.000216297418,1.8788244e-05,8.62294e-07,4.6991e-08,1,1,302,UC-Davis,73.69,Alamo,12,10
womens,2021-03-14,0,1.0,0.076422697363,0.012467764494,0.000441418116,1.4669029e-05,1.32467e-06,4.5004e-08,1,1,2393,Middle Tennessee,73.3,River Walk,14,118
womens,2021-03-14,0,1.0,0.041258312693,0.005809328348,0.000490708121,3.6595033e-05,1.191845e-06,4.0689e-08,1,1,2653,Troy,72.97,Mercado,15,94
womens,2021-03-14,0,1.0,0.029939118977,0.005368477793,0.000201783143,9.751999e-06,2.97362e-07,1.4895e-08,1,1,2751,Wyoming,72.71,Hemisfair,14,54
womens,2021-03-14,0,1.0,0.058500469733,0.003872365869,0.000209254135,3.835026e-06,1.35801e-07,5.857e-09,1,1,2182,Drexel,71.26,Alamo,14,22
womens,2021-03-14,0,1.0,0.069565725545,0.009127265776,0.000179477089,5.983319e-06,1.38422e-07,5.375e-09,1,1,2329,Lehigh,70.57,Hemisfair,13,46
womens,2021-03-14,0,1.0,0.020011149258,0.002502362079,0.000191193022,3.442411e-06,1.19973e-07,5.105e-09,1,1,2368,Marist,71.02,Alamo,15,30
womens,2021-03-14,0,1.0,0.022931080806,0.002311198361,0.000136725213,6.747209e-06,1.44824e-07,3.332e-09,1,1,2619,Stony Brook,69.69,Mercado,14,86
womens,2021-03-14,0,1.0,0.005584047549,0.000575891004,4.7909132e-05,9.1093e-07,4.9683e-08,1.011e-09,1,1,2296,Jackson State,68.54,River Walk,15,126
womens,2021-03-14,0,1.0,0.009158157861,0.00091457502,4.4128635e-05,1.944888e-06,3.0656e-08,5.28e-10,1,1,2448,North Carolina A&T,67.23,Mercado,16,66
womens,2021-03-14,0,1.0,0.001953280441,0.000184554063,1.2695213e-05,3.14767e-07,1.3505e-08,2.16e-10,1,1,2272,High Point,66.46,River Walk,16,98
womens,2021-03-14,0,1.0,0.003355833506,0.000218193143,1.8886265e-05,4.12427e-07,6.448e-09,1.76e-10,1,1,2382,Mercer,66.87,Hemisfair,16,34
womens,2021-03-14,0,1.0,0.003594879976,0.000287408171,8.456753e-06,1.65845e-07,2.071e-09,4.6e-11,1,1,116,Mount St. Mary's,65.36,Hemisfair,15,62
womens,2021-03-14,0,1.0,0.00048690212,2.2722529e-05,8.27946e-07,1.6889e-08,1.87e-10,3e-12,1,1,3084,Utah Valley,61.63,Alamo,16,2
